nom_espece,ug,date_realisation,serie,numero_circuit,nom_circuit,nb,km,valide
Cerf,Méjean,2015-03-30,1,2,Hures La Parade,1,31,
Cerf,Méjean,2015-03-30,1,3,St Pierre des Trippiers,4,15,
Cerf,Méjean,2015-03-30,1,4,Fretma,2,38.3,
Cerf,Méjean,2015-03-30,1,5,Le Pradal,7,29.7,
Cerf,Méjean,2015-03-31,2,1,Mas St Chély,13,23.4,
Cerf,Méjean,2015-03-31,2,2,Hures La Parade,4,31,
Cerf,Méjean,2015-03-31,2,3,St Pierre des Trippiers,3,15,
Cerf,Méjean,2015-03-31,2,4,Fretma,2,38.3,
Cerf,Méjean,2015-03-31,2,5,Le Pradal,1,29.7,
Cerf,Méjean,2014-03-24,1,1,Mas St Chély,22,23.4,
Cerf,Méjean,2014-03-24,1,2,Hures La Parade,0,31,
Cerf,Méjean,2014-03-24,1,3,St Pierre des Trippiers,5,15,
Cerf,Méjean,2014-03-24,1,4,Fretma,0,38.3,
Cerf,Méjean,2014-03-24,1,5,Le Pradal,6,29.7,
Cerf,Méjean,2014-03-25,2,1,Mas St Chély,25,23.4,
Cerf,Méjean,2014-03-25,2,2,Hures La Parade,3,31,
Cerf,Méjean,2014-03-25,2,3,St Pierre des Trippiers,6,15,
Cerf,Méjean,2014-03-25,2,4,Fretma,0,38.3,
Cerf,Méjean,2014-03-25,2,5,Le Pradal,5,29.7,
Cerf,Méjean,2013-03-25,1,1,Mas St Chély,21,23.4,
Cerf,Méjean,2013-03-25,1,2,Hures La Parade,0,31,
Cerf,Méjean,2013-03-25,1,3,St Pierre des Trippiers,4,15,
Cerf,Méjean,2013-03-25,1,4,Fretma,4,38.3,
Cerf,Méjean,2013-03-25,1,5,Le Pradal,0,29.7,
Cerf,Méjean,2013-03-26,2,1,Mas St Chély,23,23.4,
Cerf,Méjean,2013-03-26,2,2,Hures La Parade,0,31,
Cerf,Méjean,2013-03-26,2,3,St Pierre des Trippiers,4,15,
Cerf,Méjean,2013-03-26,2,4,Fretma,9,38.3,
Cerf,Méjean,2013-03-26,2,5,Le Pradal,0,29.7,
Cerf,Méjean,2012-03-28,1,1,Mas St Chély,8,23.4,
Cerf,Méjean,2012-03-28,1,2,Hures La Parade,0,31,
Cerf,Méjean,2012-03-28,1,3,St Pierre des Trippiers,0,15,
Cerf,Méjean,2012-03-28,1,4,Fretma,28,38.3,
