'47890-48-1401-1';'Teissonial - PSG 48-1401-1'
'49316-48-1403-1';'Blachère - PSG 48-1403-1'
'47737-48-1410-3';'Terre des Badieux - PSG 48-1410-3'
'49477-48-1411-1';'Bois de Mende et Lanuejols - PSG 48-1411-1'
'48751-48-1412-1';'Bédouès - PSG 48-1412-1'
'46561-48-1414-1';'Fajarede - PSG 48-1414-1'
'49671-48-1415-1';'Malhautard - PSG 48-1415-1'
'47909-48-1417-1';'Vergougnoux - PSG 48-1417-1'
'49931-48-1418-3';'Gourrat - PSG 48-1418-3'
'49947-48-1419-1';'Villeret_1 - PSG 48-1419-1'
'48474-48-1419-1';'Villeret_2 - PSG 48-1419-1'
'49946-48-1419-1';'Villeret_3 - PSG 48-1419-1'
'49948-48-1420-1';'Vantaillac - PSG 48-1420-1'
'49874-48-1422-1';'Forêt du Bedos - RSA 48-1422-1'
'120445-48-1423-1';'Forêt du Bedos - RSA 48-1423-1'
'48162-CB30-0067-1';'Fougassière, Le Bès et Prunet  - CBPS 30-0067-1'
'47121-CB30-0074-1';'La Baumette et Puech - CBPS 30-0074-1'
'48210-CB30-0096-1';'Ubac De Duzas - CBPS 30-0096-1'
'49880-CB30-0201-1';'Nom inconnu - CBPS 30-0201-1'
'49881-CB30-0202-1';'Nom inconnu - CBPS 30-0202-1'
'49882-CB30-0203-1';'Nom inconnu - CBPS 30-0203-1'
'49883-CB30-0204-1';'Nom inconnu - CBPS 30-0204-1'
'49884-CB30-0205-1';'Nom inconnu - CBPS 30-0205-1'
'47871-CB48-0004-1';'Lou Travers - CBPS 48-0004-1'
'47889-CB48-0009-1';'Croix de la Baraque - CBPS 48-0009-1'
'47994-CB48-0012-1';'La Colombèche - CBPS 48-0012-1'
'48000-CB48-0013-1';'Lou Gayet - CBPS 48-0013-1'
'48022-CB48-0019-1';'Lou Suc - CBPS 48-0019-1'
'48026-CB48-0023-1';'Lou Suc et Las Crote - CBPS 48-0023-1'
'48174-CB48-0079-1';'Peyrefiche - CBPS 48-0079-1'
'48180-CB48-0083-1';'Souillau et De Ronc Pounchut - CBPS 48-0083-1'
'48181-CB48-0084-1';'Trouillau - CBPS 48-0084-1'
'48182-CB48-0085-1';'Lazegat Et Fouon Buo - CBPS 48-0085-1'
'48189-CB48-0086-1';'Mas Séquier et des Cazals - CBPS 48-0086-1'
'48190-CB48-0087-1';'Couosto Plane - CBPS 48-0087-1'
'48218-CB48-0102-1';'MontméJean - CBPS 48-0102-1'
